month,vehicle_production_de,registrations_total_de,registrations_bev,data_status
2022-01-01,251969,184112,20892,observed
2022-02-01,309534,200512,28306,observed
2022-03-01,265329,241330,34474,observed
2022-04-01,257934,180264,22175,observed
2022-05-01,303379,207199,29182,observed
2022-06-01,297963,224558,32234,observed
2022-07-01,250382,205911,28815,observed
2022-08-01,231320,199183,32006,observed
2022-09-01,371042,224816,44389,observed
2022-10-01,283933,208642,35781,observed
2022-11-01,396373,260512,57980,observed
2022-12-01,261199,314318,104325,observed
2023-01-01,326251,179247,18136,observed
2023-02-01,380597,206210,32475,observed
2023-03-01,438562,281361,44125,observed
2023-04-01,316039,202947,29740,observed
2023-05-01,377206,246966,42780,observed
2023-06-01,384718,280139,52988,observed
2023-07-01,290354,243277,48682,observed
2023-08-01,253507,273417,86649,observed
2023-09-01,359613,224502,31714,observed
2023-10-01,322843,218959,37334,observed
2023-11-01,401407,245701,44942,observed
2023-12-01,258254,241883,54654,observed
2024-01-01,301538,213553,22474,observed
2024-02-01,374140,217388,27479,observed
2024-03-01,360821,263844,31497,observed
2024-04-01,396427,243102,29668,observed
2024-05-01,305554,236425,29708,observed
2024-06-01,349310,297329,43412,observed
2024-07-01,318585,238263,30762,observed
2024-08-01,300964,197322,27024,observed
2024-09-01,379324,208848,34479,observed
2024-10-01,366585,231992,35491,observed
2024-11-01,390189,244544,35167,observed
2024-12-01,225155,224721,33448,observed
2025-01-01,337231,207640,34498,observed
2025-02-01,355942,203434,35949,observed
2025-03-01,388583,253497,42521,observed
2025-04-01,365369,242728,45535,observed
2025-05-01,366879,239297,43060,observed
2025-06-01,357344,256193,47163,observed
2025-07-01,343166,264802,48614,observed
2025-08-01,239186,207229,39367,observed
2025-09-01,391740,235528,45495,observed
2025-10-01,352502,250133,52425,observed
2025-11-01,390312,250671,55741,observed
2025-12-01,260582,246439,54774,observed
2026-01-01,305747,193981,42692,observed
2026-02-01,359811,211262,46275,observed
2026-03-01,403394,294161,70663,observed
2026-04-01,352966,249163,64350,observed
2026-05-01,309582,239448,59969,observed
2026-06-01,378875,296378,84057,observed
2026-07-01,311324,268068,78609,observed
2026-08-01,229900,212563,68930,observed
