"date","segment","units","net_sales_eur"
2022-01-01,"Cable Protection",2276,15222.67
2022-01-01,"Chassis NVH",2606,62564.51
2022-01-01,"Hoses & Bellows",3536,52877.47
2022-01-01,"Other Automotive",1822,16818.91
2022-01-01,"Powertrain Mounts",1045,59337.62
2022-01-01,"Sealing",11396,35910.75
2022-01-02,"Cable Protection",1910,12642.98
2022-01-02,"Chassis NVH",2339,54727.13
2022-01-02,"Hoses & Bellows",3282,49157.5
2022-01-02,"Other Automotive",1605,14487.03
2022-01-02,"Powertrain Mounts",971,56238.62
2022-01-02,"Sealing",9541,31296.61
2022-01-03,"Cable Protection",15285,100000.69
2022-01-03,"Chassis NVH",8221,207205.48
2022-01-03,"Hoses & Bellows",11053,170832.49
2022-01-03,"Other Automotive",7963,71335.61
2022-01-03,"Powertrain Mounts",3768,215590.83
2022-01-03,"Sealing",55498,179416.8
2022-01-04,"Cable Protection",15698,103022.25
2022-01-04,"Chassis NVH",8211,197110.99
2022-01-04,"Hoses & Bellows",11152,163874.1
2022-01-04,"Other Automotive",7925,72335.44
2022-01-04,"Powertrain Mounts",3914,232354.12
2022-01-04,"Sealing",55326,175723.92
2022-01-05,"Cable Protection",15307,98185.22
2022-01-05,"Chassis NVH",8386,197945.46
2022-01-05,"Hoses & Bellows",11905,181111.56
2022-01-05,"Other Automotive",8325,76838.66
2022-01-05,"Powertrain Mounts",3913,233054.33
2022-01-05,"Sealing",57579,178498.26
2022-01-06,"Cable Protection",15575,101626.23
2022-01-06,"Chassis NVH",8852,211036.6
2022-01-06,"Hoses & Bellows",12165,180445.95
2022-01-06,"Other Automotive",8857,81073.83
2022-01-06,"Powertrain Mounts",4209,243238.86
2022-01-06,"Sealing",60282,187369.82
2022-01-07,"Cable Protection",14289,93508.17
2022-01-07,"Chassis NVH",7974,193603.55
2022-01-07,"Hoses & Bellows",11425,173162.45
2022-01-07,"Other Automotive",7953,72147.24
2022-01-07,"Powertrain Mounts",3496,200714.25
2022-01-07,"Sealing",56027,175349.75
2022-01-08,"Cable Protection",2917,18902.88
2022-01-08,"Chassis NVH",2804,66658.46
2022-01-08,"Hoses & Bellows",4546,68700.36
2022-01-08,"Other Automotive",2184,19384.34
2022-01-08,"Powertrain Mounts",1229,71931.22
2022-01-08,"Sealing",14659,45790.54
2022-01-09,"Cable Protection",1858,11939.08
2022-01-09,"Chassis NVH",2299,56160.8
2022-01-09,"Hoses & Bellows",3382,50009.61
2022-01-09,"Other Automotive",1593,14334.03
2022-01-09,"Powertrain Mounts",958,56366.24
2022-01-09,"Sealing",10700,34433.33
2022-01-10,"Cable Protection",17355,117012.82
2022-01-10,"Chassis NVH",9145,224344.92
2022-01-10,"Hoses & Bellows",13337,195939.97
2022-01-10,"Other Automotive",8574,80213.04
